City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Biak,ID,-0.9131,122.8766,75.24,85,100,4.79,overcast clouds
81,Uberaba,BR,-19.7483,-47.9319,76.01,83,93,3.11,overcast clouds
82,Lagoa,PT,39.05,-27.9833,56.43,61,92,5.41,overcast clouds
83,Lithakia,GR,37.7167,20.8333,54.59,71,8,4.21,clear sky
84,Kavaratti,IN,10.5669,72.642,80.55,72,66,5.06,broken clouds
85,Busselton,AU,-33.65,115.3333,63.05,75,0,11.5,clear sky
86,Sitka,US,57.0531,-135.33,39.07,89,100,4.97,light rain
87,Boguchany,RU,58.3814,97.4531,-20.11,100,83,3.78,broken clouds
88,Charagua,BO,-19.8,-63.2167,79.75,46,96,5.32,overcast clouds
89,Severo-Kurilsk,RU,50.6789,156.125,21.92,70,36,10.22,scattered clouds
90,Amazar,RU,53.858,120.875,-8.45,95,100,3.24,overcast clouds
91,Tasiilaq,GL,65.6145,-37.6368,14.05,71,100,9.89,overcast clouds
92,Thompson,CA,55.7435,-97.8558,-7.44,71,100,8.05,overcast clouds
93,Abu Dhabi,AE,24.4667,54.3667,66.22,54,0,8.05,clear sky
94,Bulgan,MN,48.8125,103.5347,-15.21,99,100,1.39,overcast clouds
95,Uray,RU,60.1247,64.7758,-16.56,100,78,3.15,broken clouds
96,Bengkulu,ID,-3.8004,102.2655,76.21,89,100,3.96,light rain
97,Chiang Khong,TH,20.2613,100.4046,55.8,52,59,1.39,broken clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,69.82,60,0,9.22,clear sky
99,Caravelas,BR,-17.7125,-39.2481,79.74,76,90,9.73,overcast clouds
100,Leesburg,US,39.1157,-77.5636,35.73,66,100,6.91,light snow
101,Tsiroanomandidy,MG,-18.7667,46.0333,69.84,88,29,2.73,light rain
102,Coihaique,CL,-45.5752,-72.0662,79.41,38,0,11.5,clear sky
103,Kodiak,US,57.79,-152.4072,34.61,78,10,3.85,clear sky
104,Buala,SB,-8.145,159.5921,79.0,83,99,6.31,light rain
105,Castro,BR,-24.7911,-50.0119,81.64,52,6,2.91,clear sky
106,Krasnoborsk,RU,61.5598,45.934,4.26,98,45,4.27,scattered clouds
107,Vaini,TO,-21.2,-175.2,80.76,83,40,5.75,scattered clouds
108,San Patricio,US,28.017,-97.5169,64.49,22,0,6.93,clear sky
109,Bilma,NE,18.6853,12.9164,69.84,11,0,6.6,clear sky
110,Witu,KE,-2.3889,40.4382,78.96,87,23,8.12,few clouds
111,Christchurch,NZ,-43.5333,172.6333,54.95,89,75,6.91,broken clouds
112,Bowling Green,US,36.9903,-86.4436,39.11,51,0,7.05,clear sky
113,Muros,ES,42.7762,-9.0603,56.84,71,9,18.28,clear sky
114,Khandyga,RU,62.6667,135.6,-42.2,100,69,2.33,broken clouds
115,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,75,12.66,broken clouds
116,Hamilton,US,39.1834,-84.5333,31.35,55,70,4.0,broken clouds
117,Bluff,NZ,-46.6,168.3333,48.79,87,9,6.11,clear sky
118,Falkenberg,SE,56.9055,12.4912,38.97,93,100,18.72,moderate rain
119,Ilulissat,GL,69.2167,-51.1,22.1,65,100,15.01,overcast clouds
120,Yellowknife,CA,62.456,-114.3525,-12.59,76,75,4.61,broken clouds
121,Grindavik,IS,63.8424,-22.4338,28.87,93,75,6.91,broken clouds
122,Erlangen,DE,49.5897,11.0039,39.92,74,0,9.22,clear sky
123,Itanhaem,BR,-24.1831,-46.7889,85.24,77,53,7.47,broken clouds
124,Meiganga,CM,6.5167,14.3,74.05,20,42,7.58,scattered clouds
125,Iqaluit,CA,63.7506,-68.5145,-16.31,75,100,3.44,overcast clouds
126,Chokurdakh,RU,70.6333,147.9167,-4.25,96,100,10.49,overcast clouds
127,Okhotsk,RU,59.3833,143.3,-14.8,80,1,11.03,clear sky
128,Balad,IQ,34.0164,44.1453,56.82,36,0,10.22,clear sky
